"#12 V motor (1) Z axis On the table, run at 12 V, using tape",
Time - Voltage - Voltage,Amplitude - Voltage - Voltage
0.809333,1.388
0.81,1.403
0.810667,1.393
0.811333,1.393
0.812,1.406
0.812667,1.395
0.813333,1.398
0.814,1.385
0.814667,1.395
0.815333,1.393
0.816,1.388
0.816667,1.411
0.817333,1.393
0.818,1.393
0.818667,1.395
0.819333,1.398
0.82,1.393
0.820667,1.408
0.821333,1.4
0.822,1.395
0.822667,1.385
0.823333,1.395
0.824,1.395
0.824667,1.388
0.825333,1.395
0.826,1.4
0.826667,1.393
0.827333,1.385
0.828,1.403
0.828667,1.39
0.829333,1.383
0.83,1.395
0.830667,1.395
0.831333,1.39
0.832,1.393
0.832667,1.403
0.833333,1.385
0.834,1.383
0.834667,1.398
0.835333,1.395
0.836,1.388
0.836667,1.406
0.837333,1.4
0.838,1.395
0.838667,1.388
0.839333,1.395
0.84,1.403
0.840667,1.393
0.841333,1.39
0.842,1.406
0.842667,1.395
0.843333,1.383
0.844,1.395
0.844667,1.416
0.845333,1.393
0.846,1.393
0.846667,1.4
0.847333,1.395
0.848,1.39
0.848667,1.4
0.849333,1.395
0.85,1.383
0.850667,1.395
0.851333,1.403
0.852,1.395
0.852667,1.39
0.853333,1.403
0.854,1.403
0.854667,1.395
0.855333,1.406
0.856,1.398
0.856667,1.393
0.857333,1.385
0.858,1.398
0.858667,1.393
0.859333,1.383
0.86,1.39
0.860667,1.406
0.861333,1.385
0.862,1.383
0.862667,1.385
0.863333,1.4
0.864,1.388
0.864667,1.398
0.865333,1.39
0.866,1.393
0.866667,1.388
0.867333,1.398
0.868,1.39
0.868667,1.383
0.869333,1.398
0.87,1.393
0.870667,1.411
0.871333,1.395
0.872,1.395
0.872667,1.393
0.873333,1.398
0.874,1.388
0.874667,1.39
0.875333,1.39
0.876,1.395
0.876667,1.393
0.877333,1.388
0.878,1.403
0.878667,1.385
0.879333,1.393
0.88,1.388
0.880667,1.393
0.881333,1.38
0.882,1.393
0.882667,1.403
0.883333,1.4
0.884,1.393
0.884667,1.383
0.885333,1.403
0.886,1.398
0.886667,1.395
0.887333,1.39
0.888,1.398
0.888667,1.39
0.889333,1.408
0.89,1.398
0.890667,1.398
0.891333,1.39
0.892,1.395
0.892667,1.398
0.893333,1.395
0.894,1.385
0.894667,1.395
0.895333,1.395
0.896,1.385
0.896667,1.395
0.897333,1.4
0.898,1.395
0.898667,1.385
0.899333,1.398
0.9,1.395
0.900667,1.411
0.901333,1.393
0.902,1.398
0.902667,1.403
0.903333,1.385
0.904,1.393
0.904667,1.393
0.905333,1.393
0.906,1.385
0.906667,1.4
0.907333,1.4
0.908,1.403
0.908667,1.377
0.909333,1.398
0.91,1.406
0.910667,1.393
0.911333,1.393
0.912,1.393
0.912667,1.408
0.913333,1.393
0.914,1.395
0.914667,1.39
0.915333,1.403
0.916,1.403
0.916667,1.39
0.917333,1.406
0.918,1.39
0.918667,1.393
0.919333,1.385
0.92,1.398
0.920667,1.395
0.921333,1.388
0.922,1.393
0.922667,1.393
0.923333,1.393
0.924,1.393
0.924667,1.393
0.925333,1.393
0.926,1.393
0.926667,1.4
0.927333,1.406
0.928,1.383
0.928667,1.385
0.929333,1.398
0.93,1.4
0.930667,1.388
0.931333,1.388
0.932,1.393
0.932667,1.385
0.933333,1.393
0.934,1.39
0.934667,1.39
0.935333,1.4
0.936,1.385
0.936667,1.393
0.937333,1.388
0.938,1.403
0.938667,1.393
0.939333,1.39
0.94,1.39
0.940667,1.393
