"#12V motor run at 12V, 60 seconds, x axis",
Time - Voltage - Voltage_0,Amplitude - Voltage - Voltage_0
0.406,1.949m
0.406333,-1.872m
0.406667,3.222m
0.407,3.222m
0.407333,-598.5u
0.407667,-598.5u
0.408,675.1u
0.408333,-3.146m
0.408667,-3.146m
0.409,-598.5u
0.409333,-598.5u
0.409667,675.1u
0.41,3.222m
0.410333,675.1u
0.410667,675.1u
0.411,-3.146m
0.411333,-598.5u
0.411667,-598.5u
0.412,-598.5u
0.412333,675.1u
0.412667,1.949m
0.413,-3.146m
0.413333,-1.872m
0.413667,-5.693m
0.414,-5.693m
0.414333,-5.693m
0.414667,-1.872m
0.415,675.1u
0.415333,675.1u
0.415667,-1.872m
0.416,-1.872m
0.416333,675.1u
0.416667,675.1u
0.417,675.1u
0.417333,1.949m
0.417667,4.496m
0.418,3.222m
0.418333,3.222m
0.418667,3.222m
0.419,1.949m
0.419333,675.1u
0.419667,5.769m
0.42,3.222m
0.420333,1.949m
0.420667,3.222m
0.421,-598.5u
0.421333,-1.872m
0.421667,1.949m
0.422,1.949m
0.422333,4.496m
0.422667,3.222m
0.423,1.949m
0.423333,3.222m
0.423667,675.1u
0.424,675.1u
0.424333,-3.146m
0.424667,-3.146m
0.425,-598.5u
0.425333,-1.872m
0.425667,1.949m
0.426,-1.872m
0.426333,-1.872m
0.426667,-1.872m
0.427,-598.5u
0.427333,-4.419m
0.427667,1.949m
0.428,1.949m
0.428333,-1.872m
0.428667,-3.146m
0.429,-3.146m
0.429333,-5.693m
0.429667,-1.872m
0.43,-1.872m
0.430333,3.222m
0.430667,675.1u
0.431,-1.872m
0.431333,-1.872m
0.431667,-3.146m
0.432,-3.146m
0.432333,675.1u
0.432667,4.496m
0.433,4.496m
0.433333,3.222m
0.433667,3.222m
0.434,3.222m
0.434333,1.949m
0.434667,1.949m
0.435,3.222m
0.435333,7.043m
0.435667,3.222m
0.436,8.316m
0.436333,1.949m
0.436667,675.1u
0.437,3.222m
0.437333,1.949m
